officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Zarekathi B.O,413714,B.O,Delivery,Shrirampur,Pune,Maharashtra,Sangamner,Ahmed Nagar,MAHARASHTRA,NA,Ashvi BK S.O,Shrirampur H.O,NA,NA
Achegaon B.O,413228,B.O,Delivery,Solapur,Pune,Maharashtra,S.solapur,Solapur,MAHARASHTRA,NA,Valsang S.O,Solapur H.O,NA,NA
Agalgaon S.O,413409,S.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,02184-244848,NA,Solapur H.O,NA,NA
Aherwadi B.O,413215,B.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,NA,Hotagi S.O,Solapur H.O,NA,NA
Akkalkot S.O,413216,S.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,02181-221214,NA,Solapur H.O,NA,NA
Akolekati B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O,NA,NA
Anagar S.O,413214,S.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,02189-248951,NA,Solapur H.O,NA,NA
Anjangaon  Khilobache B.O,413214,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Anagar S.O,Solapur H.O,NA,NA
Ankalge B.O,413219,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Karajagi S.O (Solapur),Solapur H.O,NA,NA
Ankoli B.O,413253,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Kamati Khurd S.O,Solapur H.O,NA,NA
Antroli B.O,413221,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,Mandrup S.O,Solapur H.O,NA,NA
Arali B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O,NA,NA
Ashok Chowk S.O,413006,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2391818,NA,Solapur H.O,NA,NA
Ashti S.O (Solapur),413303,S.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,02189-241632,NA,Solapur H.O,NA,NA
Auj B.O,413221,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,Mandrup S.O,Solapur H.O,NA,NA
Aundhi B.O,413248,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Pennur S.O,Solapur H.O,NA,NA
Aurad B.O,413008,B.O,Delivery,Solapur,Pune,Maharashtra,North Solapur,Solapur,MAHARASHTRA,NA,SRPF Camp Solapur S.O,Solapur H.O,NA,NA
Babalad B.O,413220,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Dudhani S.O,Solapur H.O,NA,NA
Babhulgaon B.O,413409,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Agalgaon S.O,Solapur H.O,NA,NA
Badole BK B.O,413218,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Wagadari S.O,Solapur H.O,NA,NA
Bagehalli B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkaikot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O,NA,NA
Bale B.O,413255,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Midc Chincholi S.O,Solapur H.O,NA,NA
Barhanpur B.O,413226,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Chapalgaon S.O,Solapur H.O,NA,NA
Barshi S.O,413401,S.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,02184-222203,NA,Solapur H.O,NA,NA
Barur B.O,413008,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,SRPF Camp Solapur S.O,Solapur H.O,NA,NA
Basalegaon B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O,NA,NA
Bavi B.O,413403,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Pangaon S.O (Solapur),Solapur H.O,NA,NA
Bazarpeth Mohol S.O,413213,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,02189-234494,NA,Solapur H.O,NA,NA
Belati B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O,NA,NA
Bhalgaon B.O,413406,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Gaudgaon S.O,Solapur H.O,NA,NA
Bhandar Kavathe B.O,413221,B.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,NA,Mandrup S.O,Solapur H.O,NA,NA
Bhatambre B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O,NA,NA
Bhurikavathe B.O,413218,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Wagadari S.O,Solapur H.O,NA,NA
Bitale B.O,413214,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Anagar S.O,Solapur H.O,NA,NA
Boramani B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O,NA,NA
Borgaon B.O,413218,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Wagadari S.O,Solapur H.O,NA,NA
Boroti B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O,NA,NA
Chapalgaon S.O,413226,S.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,02181-250278,NA,Solapur H.O,NA,NA
Chare B.O,413409,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Agalgaon S.O,Solapur H.O,NA,NA
Chikharde B.O,413404,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Pangri S.O,Solapur H.O,NA,NA
Chikkehalli B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O,NA,NA
Chumb B.O,413409,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Agalgaon S.O,Solapur H.O,NA,NA
Chungi B.O,413226,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Chapalgaon S.O,Solapur H.O,NA,NA
Dahitane B.O,413412,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Tulsidas Nagar S.O,Solapur H.O,NA,NA
Dahitne B.O,413226,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Chapalgaon S.O,Solapur H.O,NA,NA
Daji Peth S.O,413005,S.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2627450,NA,Solapur H.O,NA,NA
Darganhalli B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O,NA,NA
Darphalbibi B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O,NA,NA
Darphalgawadi B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O,NA,NA
Dayanand Collage S.O,413002,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2379044,NA,Solapur H.O,NA,NA
Degaon  ( Valuj ) B.O,413410,B.O,Delivery,Solapur,Pune,Maharashtra,Madha,Solapur,MAHARASHTRA,NA,Manegaon S.O,Solapur H.O,NA,NA
Degaon B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O,NA,NA
Deodi B.O,413324,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Shetphal S.O,Solapur H.O,NA,NA
Deogaon B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O,NA,NA
Dhamangaon B.O,413402,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Vairag S.O,Solapur H.O,NA,NA
Dhokbabhulgaon B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O,NA,NA
Dhotri B.O,413228,B.O,Delivery,Solapur,Pune,Maharashtra,S.solapur,Solapur,MAHARASHTRA,NA,Valsang S.O,Solapur H.O,NA,NA
Dombarjawalge B.O,413226,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Chapalgaon S.O,Solapur H.O,NA,NA
Dongaon B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O,NA,NA
Dudhani S.O,413220,S.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,02181-256870,NA,Solapur H.O,NA,NA
Ekurkhe B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O,NA,NA
Gadegaon B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O,NA,NA
Gaudgaon B.O,413227,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Nagansur S.O,Solapur H.O,NA,NA
Gaudgaon S.O,413406,S.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,02184-253320,NA,Solapur H.O,NA,NA
Ghanegaon B.O,413403,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Pangaon S.O (Solapur),Solapur H.O,NA,NA
Ghari B.O,413404,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Pangri S.O,Solapur H.O,NA,NA
Ghatane B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O,NA,NA
Ghodeshwar B.O,413253,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Kamati Khurd S.O,Solapur H.O,NA,NA
Gholasgaon B.O,413218,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Wagadari S.O,Solapur H.O,NA,NA
Gogaon B.O,413218,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Wagadari S.O,Solapur H.O,NA,NA
Gormale B.O,413404,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Pangri S.O,Solapur H.O,NA,NA
Gotewadi B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O,NA,NA
Gulpoli B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O,NA,NA
Gunjegaon B.O,413221,B.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,NA,Mandrup S.O,Solapur H.O,NA,NA
Gurunanak Nagar S.O,413003,S.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2602123,NA,Solapur H.O,NA,NA
Hagloor B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O,NA,NA
Haidra B.O,413227,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Nagansur S.O,Solapur H.O,NA,NA
Halduge B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O,NA,NA
Hanjagi B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O,NA,NA
Hannur B.O,413226,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Chapalgaon S.O,Solapur H.O,NA,NA
Hatti Kanabus B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O,NA,NA
Hattij B.O,413406,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Gaudgaon S.O,Solapur H.O,NA,NA
Hattur B.O,413008,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,SRPF Camp Solapur S.O,Solapur H.O,NA,NA
Hiraj B.O,413255,B.O,Delivery,Solapur,Pune,Maharashtra,North Solapur,Solapur,MAHARASHTRA,NA,Midc Chincholi S.O,Solapur H.O,NA,NA
Hiware B.O,413324,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Shetphal S.O,Solapur H.O,NA,NA
Honmurgi B.O,413008,B.O,Delivery,Solapur,Pune,Maharashtra,Nort Solapur,Solapur,MAHARASHTRA,NA,SRPF Camp Solapur S.O,Solapur H.O,NA,NA
Honsal B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O,NA,NA
Hotagi S.O,413215,S.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,0217-2250331,NA,Solapur H.O,NA,NA
Hotgigaon B.O,413215,B.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,NA,Hotagi S.O,Solapur H.O,NA,NA
Ichgaon B.O,413253,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Kamati Khurd S.O,Solapur H.O,NA,NA
Indiranagar S.O (Solapur),413004,S.O,Delivery,Solapur,Pune,Maharashtra,North Solapur,Solapur,MAHARASHTRA,0217-2341302,NA,Solapur H.O,NA,NA
Ingalgi B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O,NA,NA
Irle B.O,413412,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Tulsidas Nagar S.O,Solapur H.O,NA,NA
Jamgaon  (Agalgaon) B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O,NA,NA
Jamgaon  (Pangari) B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O,NA,NA
Javalgaon B.O,413406,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Gaudgaon S.O,Solapur H.O,NA,NA
Jawaharlal Nehru Vastigrah S.O,413001,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2727263,NA,Solapur H.O,NA,NA
Jeur  (Akkalkot) B.O,413219,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,Karajagi S.O (Solapur),Solapur H.O,NA,NA
Jule Solapur S.O,413008,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,0217-2301272,NA,Solapur H.O,NA,NA
K.V.Nagar Barshi S.O,413411,S.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,02184-222204,NA,Solapur H.O,NA,NA
Kadabgaon B.O,413227,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Nagansur S.O,Solapur H.O,NA,NA
Kajikanabus B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O,NA,NA
Kalamwadi B.O,413403,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Pangaon S.O (Solapur),Solapur H.O,NA,NA
Kalman B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O,NA,NA
Kamati Khurd S.O,413253,S.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,02189-245529,NA,Solapur H.O,NA,NA
Kanbus (Gangadhar) B.O,413215,B.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,NA,Hotagi S.O,Solapur H.O,NA,NA
Kandalgaon B.O,413221,B.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,NA,Mandrup S.O,Solapur H.O,NA,NA
Karajagi S.O (Solapur),413219,S.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,02181-254330,NA,Solapur H.O,NA,NA
Karamba B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O,NA,NA
Kardehalli B.O,413006,B.O,Delivery,Solapur,Pune,Maharashtra,Nort Solapur,Solapur,MAHARASHTRA,NA,Midc Solapur S.O,Solapur H.O,NA,NA
Kari B.O,413404,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Pangri S.O,Solapur H.O,NA,NA
Karjal B.O,413228,B.O,Delivery,Solapur,Pune,Maharashtra,S.solapur,Solapur,MAHARASHTRA,NA,Valsang S.O,Solapur H.O,NA,NA
Kasegaon B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O,NA,NA
Kategaon B.O,413409,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Agalgaon S.O,Solapur H.O,NA,NA
Kauthali B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O,NA,NA
Kavathe B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O,NA,NA
Kegaon B.O,413255,B.O,Delivery,Solapur,Pune,Maharashtra,North Solapur,Solapur,MAHARASHTRA,NA,Midc Chincholi S.O,Solapur H.O,NA,NA
Khairao B.O,413410,B.O,Delivery,Solapur,Pune,Maharashtra,Madha,Solapur,MAHARASHTRA,NA,Manegaon S.O,Solapur H.O,NA,NA
Khamgaon B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O,NA,NA
Khandali B.O,413324,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Shetphal S.O,Solapur H.O,NA,NA
Khandvi B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O,NA,NA
Khuneshwar B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O,NA,NA
Khvhe B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,NA,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O,NA,NA
Kini B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O,NA,NA
Kolegaon B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O,NA,NA
Kondi B.O,413255,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Midc Chincholi S.O,Solapur H.O,NA,NA
Konheri B.O,413248,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Pennur S.O,Solapur H.O,NA,NA
Koravali B.O,413253,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Kamati Khurd S.O,Solapur H.O,NA,NA
Korphale B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O,NA,NA
Korsegaon B.O,413219,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Karajagi S.O (Solapur),Solapur H.O,NA,NA
Kumathe B.O,413224,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,Shivshahi S.O,Solapur H.O,NA,NA
Kumbhari B.O,413006,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,Midc Solapur S.O,Solapur H.O,NA,NA
Kurnoor B.O,413226,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Chapalgaon S.O,Solapur H.O,NA,NA
Kurul B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O,NA,NA
Kuslumb B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O,NA,NA
Kusur B.O,413221,B.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,NA,Mandrup S.O,Solapur H.O,NA,NA
Lamboti B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O,NA,NA
Limbi Chincholi B.O,413228,B.O,Delivery,Solapur,Pune,Maharashtra,S.solapur,Solapur,MAHARASHTRA,NA,Valsang S.O,Solapur H.O,NA,NA
Londewadi B.O,413214,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Anagar S.O,Solapur H.O,NA,NA
Maindargi S.O,413217,S.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,02181-255350,NA,Solapur H.O,NA,NA
Malegaon (Vairag) B.O,413406,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Gaudgaon S.O,Solapur H.O,NA,NA
Malegaon B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O,NA,NA
Malikpeth B.O,413214,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Anagar S.O,Solapur H.O,NA,NA
Malkavathe B.O,413221,B.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,NA,Mandrup S.O,Solapur H.O,NA,NA
Malvandi B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O,NA,NA
Mandegaon B.O,413409,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Agalgaon S.O,Solapur H.O,NA,NA
Mandrup S.O,413221,S.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,0217-2255521,NA,Solapur H.O,NA,NA
Manegaon S.O,413410,S.O,Delivery,Solapur,Pune,Maharashtra,Madha,Solapur,MAHARASHTRA,0217-2726513,NA,Solapur H.O,NA,NA
Mangalwar Peth S.O (Solapur),413002,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2324000,NA,Solapur H.O,NA,NA
Mangrul B.O,413219,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Karajagi S.O (Solapur),Solapur H.O,NA,NA
Mardi B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O,NA,NA
Market Yard Barshi S.O,413401,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,02184-222983,NA,Solapur H.O,NA,NA
Market Yard Solapur S.O,413005,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2375135,NA,Solapur H.O,NA,NA
Masale Chaudhari B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O,NA,NA
Medical College S.O (Solapur),413003,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2601167,NA,Solapur H.O,NA,NA
Mhaisalge B.O,413219,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Karajagi S.O (Solapur),Solapur H.O,NA,NA
Midc Chincholi S.O,413255,S.O,Delivery,Solapur,Pune,Maharashtra,North Solapur,Solapur,MAHARASHTRA,0217-2357268,NA,Solapur H.O,NA,NA
Midc Solapur S.O,413006,S.O,Delivery,Solapur,Pune,Maharashtra,North Solapur,Solapur,MAHARASHTRA,0217-2651256,NA,Solapur H.O,NA,NA
Mohol S.O,413213,S.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,02189-232221,NA,Solapur H.O,NA,NA
Motyal B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O,NA,NA
Mouje Tadvale B.O,413412,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Tulsidas Nagar S.O,Solapur H.O,NA,NA
Mugali B.O,413220,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Dudhani S.O,Solapur H.O,NA,NA
